::icu_normalizer::provider::DecompositionTablesV1 {
    scalars16: unsafe {
        ::zerovec::ZeroVec::from_bytes_unchecked(&[
            20u8, 48u8, 87u8, 101u8, 21u8, 48u8, 20u8, 48u8, 221u8, 82u8, 21u8, 48u8, 20u8,
            48u8, 215u8, 118u8, 21u8, 48u8, 20u8, 48u8, 83u8, 98u8, 21u8, 48u8, 20u8, 48u8,
            185u8, 112u8, 21u8, 48u8, 20u8, 48u8, 137u8, 91u8, 21u8, 48u8, 20u8, 48u8, 140u8,
            78u8, 21u8, 48u8, 20u8, 48u8, 9u8, 78u8, 21u8, 48u8, 20u8, 48u8, 44u8, 103u8, 21u8,
            48u8, 179u8, 48u8, 179u8, 48u8, 123u8, 48u8, 75u8, 48u8, 68u8, 0u8, 74u8, 0u8,
            77u8, 0u8, 82u8, 0u8, 77u8, 0u8, 68u8, 0u8, 77u8, 0u8, 67u8, 0u8, 87u8, 0u8, 67u8,
            68u8, 6u8, 39u8, 6u8, 68u8, 6u8, 71u8, 6u8, 53u8, 6u8, 68u8, 6u8, 73u8, 6u8, 72u8,
            6u8, 51u8, 6u8, 68u8, 6u8, 69u8, 6u8, 57u8, 6u8, 68u8, 6u8, 74u8, 6u8, 71u8, 6u8,
            49u8, 6u8, 51u8, 6u8, 72u8, 6u8, 68u8, 6u8, 53u8, 6u8, 68u8, 6u8, 57u8, 6u8, 69u8,
            6u8, 69u8, 6u8, 45u8, 6u8, 69u8, 6u8, 47u8, 6u8, 39u8, 6u8, 67u8, 6u8, 40u8, 6u8,
            49u8, 6u8, 39u8, 6u8, 68u8, 6u8, 68u8, 6u8, 71u8, 6u8, 66u8, 6u8, 68u8, 6u8, 210u8,
            6u8, 53u8, 6u8, 68u8, 6u8, 210u8, 6u8, 70u8, 6u8, 44u8, 6u8, 74u8, 6u8, 51u8, 6u8,
            46u8, 6u8, 74u8, 6u8, 53u8, 6u8, 69u8, 6u8, 69u8, 6u8, 57u8, 6u8, 44u8, 6u8, 69u8,
            6u8, 67u8, 6u8, 69u8, 6u8, 69u8, 6u8, 40u8, 6u8, 45u8, 6u8, 74u8, 6u8, 65u8, 6u8,
            69u8, 6u8, 74u8, 6u8, 69u8, 6u8, 44u8, 6u8, 74u8, 6u8, 45u8, 6u8, 44u8, 6u8, 74u8,
            6u8, 44u8, 6u8, 45u8, 6u8, 74u8, 6u8, 70u8, 6u8, 44u8, 6u8, 45u8, 6u8, 68u8, 6u8,
            44u8, 6u8, 69u8, 6u8, 69u8, 6u8, 46u8, 6u8, 74u8, 6u8, 67u8, 6u8, 69u8, 6u8, 74u8,
            6u8, 57u8, 6u8, 69u8, 6u8, 74u8, 6u8, 68u8, 6u8, 45u8, 6u8, 69u8, 6u8, 66u8, 6u8,
            69u8, 6u8, 45u8, 6u8, 70u8, 6u8, 45u8, 6u8, 74u8, 6u8, 66u8, 6u8, 69u8, 6u8, 74u8,
            6u8, 69u8, 6u8, 69u8, 6u8, 74u8, 6u8, 74u8, 6u8, 69u8, 6u8, 74u8, 6u8, 74u8, 6u8,
            44u8, 6u8, 74u8, 6u8, 74u8, 6u8, 45u8, 6u8, 74u8, 6u8, 68u8, 6u8, 69u8, 6u8, 74u8,
            6u8, 68u8, 6u8, 44u8, 6u8, 74u8, 6u8, 54u8, 6u8, 45u8, 6u8, 74u8, 6u8, 52u8, 6u8,
            45u8, 6u8, 74u8, 6u8, 53u8, 6u8, 45u8, 6u8, 74u8, 6u8, 51u8, 6u8, 46u8, 6u8, 73u8,
            6u8, 44u8, 6u8, 69u8, 6u8, 73u8, 6u8, 44u8, 6u8, 45u8, 6u8, 73u8, 6u8, 44u8, 6u8,
            69u8, 6u8, 74u8, 6u8, 42u8, 6u8, 69u8, 6u8, 73u8, 6u8, 42u8, 6u8, 69u8, 6u8, 74u8,
            6u8, 42u8, 6u8, 46u8, 6u8, 73u8, 6u8, 42u8, 6u8, 46u8, 6u8, 74u8, 6u8, 42u8, 6u8,
            44u8, 6u8, 73u8, 6u8, 42u8, 6u8, 44u8, 6u8, 74u8, 6u8, 40u8, 6u8, 46u8, 6u8, 74u8,
            6u8, 70u8, 6u8, 69u8, 6u8, 73u8, 6u8, 70u8, 6u8, 69u8, 6u8, 74u8, 6u8, 70u8, 6u8,
            44u8, 6u8, 73u8, 6u8, 70u8, 6u8, 44u8, 6u8, 69u8, 6u8, 70u8, 6u8, 45u8, 6u8, 73u8,
            6u8, 70u8, 6u8, 45u8, 6u8, 69u8, 6u8, 71u8, 6u8, 69u8, 6u8, 69u8, 6u8, 71u8, 6u8,
            69u8, 6u8, 44u8, 6u8, 69u8, 6u8, 44u8, 6u8, 46u8, 6u8, 69u8, 6u8, 46u8, 6u8, 69u8,
            6u8, 69u8, 6u8, 46u8, 6u8, 44u8, 6u8, 69u8, 6u8, 44u8, 6u8, 45u8, 6u8, 69u8, 6u8,
            45u8, 6u8, 74u8, 6u8, 69u8, 6u8, 45u8, 6u8, 44u8, 6u8, 68u8, 6u8, 69u8, 6u8, 45u8,
            6u8, 68u8, 6u8, 46u8, 6u8, 69u8, 6u8, 68u8, 6u8, 44u8, 6u8, 44u8, 6u8, 68u8, 6u8,
            45u8, 6u8, 73u8, 6u8, 68u8, 6u8, 45u8, 6u8, 74u8, 6u8, 66u8, 6u8, 69u8, 6u8, 69u8,
            6u8, 65u8, 6u8, 46u8, 6u8, 69u8, 6u8, 58u8, 6u8, 69u8, 6u8, 73u8, 6u8, 58u8, 6u8,
            69u8, 6u8, 74u8, 6u8, 58u8, 6u8, 69u8, 6u8, 69u8, 6u8, 57u8, 6u8, 69u8, 6u8, 73u8,
            6u8, 55u8, 6u8, 69u8, 6u8, 74u8, 6u8, 55u8, 6u8, 69u8, 6u8, 69u8, 6u8, 55u8, 6u8,
            69u8, 6u8, 45u8, 6u8, 54u8, 6u8, 46u8, 6u8, 69u8, 6u8, 54u8, 6u8, 45u8, 6u8, 73u8,
            6u8, 52u8, 6u8, 69u8, 6u8, 69u8, 6u8, 52u8, 6u8, 69u8, 6u8, 46u8, 6u8, 52u8, 6u8,
            44u8, 6u8, 74u8, 6u8, 52u8, 6u8, 45u8, 6u8, 69u8, 6u8, 53u8, 6u8, 45u8, 6u8, 45u8,
            6u8, 51u8, 6u8, 69u8, 6u8, 69u8, 6u8, 51u8, 6u8, 69u8, 6u8, 44u8, 6u8, 51u8, 6u8,
            69u8, 6u8, 45u8, 6u8, 51u8, 6u8, 44u8, 6u8, 73u8, 6u8, 51u8, 6u8, 44u8, 6u8, 45u8,
            6u8, 51u8, 6u8, 45u8, 6u8, 44u8, 6u8, 45u8, 6u8, 69u8, 6u8, 73u8, 6u8, 45u8, 6u8,
            69u8, 6u8, 74u8, 6u8, 44u8, 6u8, 69u8, 6u8, 45u8, 6u8, 42u8, 6u8, 69u8, 6u8, 46u8,
            6u8, 42u8, 6u8, 69u8, 6u8, 45u8, 6u8, 42u8, 6u8, 69u8, 6u8, 44u8, 6u8, 42u8, 6u8,
            46u8, 6u8, 69u8, 6u8, 42u8, 6u8, 45u8, 6u8, 69u8, 6u8, 42u8, 6u8, 45u8, 6u8, 44u8,
            6u8, 42u8, 6u8, 44u8, 6u8, 69u8, 6u8, 56u8, 6u8, 69u8, 6u8, 52u8, 6u8, 46u8, 6u8,
            52u8, 6u8, 71u8, 6u8, 51u8, 6u8, 71u8, 6u8, 54u8, 6u8, 49u8, 6u8, 53u8, 6u8, 49u8,
            6u8, 51u8, 6u8, 49u8, 6u8, 52u8, 6u8, 49u8, 6u8, 54u8, 6u8, 74u8, 6u8, 54u8, 6u8,
            73u8, 6u8, 53u8, 6u8, 74u8, 6u8, 53u8, 6u8, 73u8, 6u8, 52u8, 6u8, 74u8, 6u8, 52u8,
            6u8, 73u8, 6u8, 51u8, 6u8, 74u8, 6u8, 51u8, 6u8, 73u8, 6u8, 58u8, 6u8, 74u8, 6u8,
            58u8, 6u8, 73u8, 6u8, 57u8, 6u8, 74u8, 6u8, 57u8, 6u8, 73u8, 6u8, 55u8, 6u8, 74u8,
            6u8, 55u8, 6u8, 73u8, 6u8, 64u8, 6u8, 80u8, 6u8, 81u8, 6u8, 64u8, 6u8, 79u8, 6u8,
            81u8, 6u8, 64u8, 6u8, 78u8, 6u8, 81u8, 6u8, 70u8, 6u8, 71u8, 6u8, 67u8, 6u8, 68u8,
            6u8, 43u8, 6u8, 71u8, 6u8, 43u8, 6u8, 69u8, 6u8, 42u8, 6u8, 71u8, 6u8, 40u8, 6u8,
            71u8, 6u8, 40u8, 6u8, 69u8, 6u8, 74u8, 6u8, 84u8, 6u8, 71u8, 6u8, 74u8, 6u8, 84u8,
            6u8, 69u8, 6u8, 74u8, 6u8, 46u8, 6u8, 71u8, 6u8, 44u8, 6u8, 70u8, 6u8, 46u8, 6u8,
            67u8, 6u8, 46u8, 6u8, 67u8, 6u8, 45u8, 6u8, 67u8, 6u8, 44u8, 6u8, 66u8, 6u8, 45u8,
            6u8, 65u8, 6u8, 45u8, 6u8, 65u8, 6u8, 44u8, 6u8, 58u8, 6u8, 44u8, 6u8, 55u8, 6u8,
            45u8, 6u8, 54u8, 6u8, 69u8, 6u8, 54u8, 6u8, 44u8, 6u8, 53u8, 6u8, 46u8, 6u8, 40u8,
            6u8, 44u8, 6u8, 74u8, 6u8, 84u8, 6u8, 46u8, 6u8, 74u8, 6u8, 84u8, 6u8, 45u8, 6u8,
            74u8, 6u8, 84u8, 6u8, 44u8, 6u8, 74u8, 6u8, 73u8, 6u8, 74u8, 6u8, 50u8, 6u8, 74u8,
            6u8, 49u8, 6u8, 70u8, 6u8, 74u8, 6u8, 70u8, 6u8, 73u8, 6u8, 70u8, 6u8, 70u8, 6u8,
            70u8, 6u8, 50u8, 6u8, 70u8, 6u8, 49u8, 6u8, 69u8, 6u8, 39u8, 6u8, 67u8, 6u8, 74u8,
            6u8, 67u8, 6u8, 73u8, 6u8, 67u8, 6u8, 39u8, 6u8, 66u8, 6u8, 74u8, 6u8, 66u8, 6u8,
            73u8, 6u8, 65u8, 6u8, 74u8, 6u8, 65u8, 6u8, 73u8, 6u8, 43u8, 6u8, 74u8, 6u8, 43u8,
            6u8, 73u8, 6u8, 43u8, 6u8, 70u8, 6u8, 43u8, 6u8, 50u8, 6u8, 43u8, 6u8, 49u8, 6u8,
            42u8, 6u8, 74u8, 6u8, 42u8, 6u8, 73u8, 6u8, 42u8, 6u8, 70u8, 6u8, 42u8, 6u8, 50u8,
            6u8, 42u8, 6u8, 49u8, 6u8, 40u8, 6u8, 74u8, 6u8, 40u8, 6u8, 73u8, 6u8, 40u8, 6u8,
            70u8, 6u8, 40u8, 6u8, 50u8, 6u8, 74u8, 6u8, 84u8, 6u8, 74u8, 6u8, 74u8, 6u8, 84u8,
            6u8, 73u8, 6u8, 74u8, 6u8, 84u8, 6u8, 70u8, 6u8, 74u8, 6u8, 84u8, 6u8, 50u8, 6u8,
            74u8, 6u8, 84u8, 6u8, 49u8, 6u8, 32u8, 0u8, 81u8, 6u8, 112u8, 6u8, 32u8, 0u8, 80u8,
            6u8, 81u8, 6u8, 32u8, 0u8, 79u8, 6u8, 81u8, 6u8, 32u8, 0u8, 78u8, 6u8, 81u8, 6u8,
            32u8, 0u8, 77u8, 6u8, 81u8, 6u8, 32u8, 0u8, 76u8, 6u8, 81u8, 6u8, 71u8, 6u8, 73u8,
            6u8, 46u8, 6u8, 45u8, 6u8, 43u8, 6u8, 44u8, 6u8, 74u8, 6u8, 84u8, 6u8, 208u8, 6u8,
            74u8, 6u8, 84u8, 6u8, 200u8, 6u8, 74u8, 6u8, 84u8, 6u8, 198u8, 6u8, 74u8, 6u8,
            84u8, 6u8, 199u8, 6u8, 74u8, 6u8, 84u8, 6u8, 72u8, 6u8, 74u8, 6u8, 84u8, 6u8,
            213u8, 6u8, 74u8, 6u8, 84u8, 6u8, 39u8, 6u8, 199u8, 6u8, 116u8, 6u8, 208u8, 5u8,
            220u8, 5u8, 116u8, 5u8, 109u8, 5u8, 126u8, 5u8, 118u8, 5u8, 116u8, 5u8, 107u8, 5u8,
            116u8, 5u8, 101u8, 5u8, 116u8, 5u8, 118u8, 5u8, 115u8, 0u8, 116u8, 0u8, 102u8, 0u8,
            102u8, 0u8, 108u8, 0u8, 102u8, 0u8, 102u8, 0u8, 105u8, 0u8, 103u8, 0u8, 97u8, 0u8,
            108u8, 0u8, 51u8, 0u8, 49u8, 0u8, 229u8, 101u8, 51u8, 0u8, 48u8, 0u8, 229u8, 101u8,
            50u8, 0u8, 57u8, 0u8, 229u8, 101u8, 50u8, 0u8, 56u8, 0u8, 229u8, 101u8, 50u8, 0u8,
            55u8, 0u8, 229u8, 101u8, 50u8, 0u8, 54u8, 0u8, 229u8, 101u8, 50u8, 0u8, 53u8, 0u8,
            229u8, 101u8, 50u8, 0u8, 52u8, 0u8, 229u8, 101u8, 50u8, 0u8, 51u8, 0u8, 229u8,
            101u8, 50u8, 0u8, 50u8, 0u8, 229u8, 101u8, 50u8, 0u8, 49u8, 0u8, 229u8, 101u8,
            50u8, 0u8, 48u8, 0u8, 229u8, 101u8, 49u8, 0u8, 57u8, 0u8, 229u8, 101u8, 49u8, 0u8,
            56u8, 0u8, 229u8, 101u8, 49u8, 0u8, 55u8, 0u8, 229u8, 101u8, 49u8, 0u8, 54u8, 0u8,
            229u8, 101u8, 49u8, 0u8, 53u8, 0u8, 229u8, 101u8, 49u8, 0u8, 52u8, 0u8, 229u8,
            101u8, 49u8, 0u8, 51u8, 0u8, 229u8, 101u8, 49u8, 0u8, 50u8, 0u8, 229u8, 101u8,
            49u8, 0u8, 49u8, 0u8, 229u8, 101u8, 49u8, 0u8, 48u8, 0u8, 229u8, 101u8, 65u8, 0u8,
            21u8, 34u8, 109u8, 0u8, 86u8, 0u8, 21u8, 34u8, 109u8, 0u8, 87u8, 0u8, 98u8, 0u8,
            83u8, 0u8, 118u8, 0u8, 115u8, 0u8, 114u8, 0u8, 80u8, 0u8, 82u8, 0u8, 80u8, 0u8,
            80u8, 0u8, 77u8, 0u8, 112u8, 0u8, 46u8, 0u8, 109u8, 0u8, 46u8, 0u8, 80u8, 0u8,
            72u8, 0u8, 109u8, 0u8, 111u8, 0u8, 108u8, 0u8, 109u8, 0u8, 105u8, 0u8, 108u8, 0u8,
            109u8, 0u8, 98u8, 0u8, 108u8, 0u8, 120u8, 0u8, 108u8, 0u8, 111u8, 0u8, 103u8, 0u8,
            108u8, 0u8, 110u8, 0u8, 107u8, 0u8, 116u8, 0u8, 75u8, 0u8, 77u8, 0u8, 75u8, 0u8,
            75u8, 0u8, 105u8, 0u8, 110u8, 0u8, 72u8, 0u8, 80u8, 0u8, 104u8, 0u8, 97u8, 0u8,
            71u8, 0u8, 121u8, 0u8, 100u8, 0u8, 66u8, 0u8, 67u8, 0u8, 111u8, 0u8, 46u8, 0u8,
            67u8, 0u8, 21u8, 34u8, 107u8, 0u8, 103u8, 0u8, 99u8, 0u8, 100u8, 0u8, 99u8, 0u8,
            99u8, 0u8, 66u8, 0u8, 113u8, 0u8, 97u8, 0u8, 46u8, 0u8, 109u8, 0u8, 46u8, 0u8,
            77u8, 0u8, 169u8, 3u8, 107u8, 0u8, 169u8, 3u8, 77u8, 0u8, 87u8, 0u8, 107u8, 0u8,
            87u8, 0u8, 188u8, 3u8, 87u8, 0u8, 110u8, 0u8, 87u8, 0u8, 112u8, 0u8, 87u8, 0u8,
            107u8, 0u8, 86u8, 0u8, 188u8, 3u8, 86u8, 0u8, 110u8, 0u8, 86u8, 0u8, 112u8, 0u8,
            86u8, 0u8, 109u8, 0u8, 115u8, 0u8, 188u8, 3u8, 115u8, 0u8, 110u8, 0u8, 115u8, 0u8,
            112u8, 0u8, 115u8, 0u8, 114u8, 0u8, 97u8, 0u8, 100u8, 0u8, 21u8, 34u8, 115u8, 0u8,
            50u8, 0u8, 71u8, 0u8, 80u8, 0u8, 97u8, 0u8, 77u8, 0u8, 80u8, 0u8, 97u8, 0u8, 107u8,
            0u8, 80u8, 0u8, 97u8, 0u8, 109u8, 0u8, 21u8, 34u8, 115u8, 0u8, 50u8, 0u8, 107u8,
            0u8, 109u8, 0u8, 51u8, 0u8, 99u8, 0u8, 109u8, 0u8, 51u8, 0u8, 109u8, 0u8, 109u8,
            0u8, 51u8, 0u8, 107u8, 0u8, 109u8, 0u8, 50u8, 0u8, 99u8, 0u8, 109u8, 0u8, 50u8,
            0u8, 109u8, 0u8, 109u8, 0u8, 50u8, 0u8, 188u8, 3u8, 109u8, 0u8, 110u8, 0u8, 109u8,
            0u8, 102u8, 0u8, 109u8, 0u8, 107u8, 0u8, 108u8, 0u8, 100u8, 0u8, 108u8, 0u8, 109u8,
            0u8, 108u8, 0u8, 188u8, 3u8, 108u8, 0u8, 84u8, 0u8, 72u8, 0u8, 122u8, 0u8, 71u8,
            0u8, 72u8, 0u8, 122u8, 0u8, 77u8, 0u8, 72u8, 0u8, 122u8, 0u8, 107u8, 0u8, 72u8,
            0u8, 122u8, 0u8, 109u8, 0u8, 103u8, 0u8, 188u8, 3u8, 103u8, 0u8, 188u8, 3u8, 70u8,
            0u8, 110u8, 0u8, 70u8, 0u8, 112u8, 0u8, 70u8, 0u8, 107u8, 0u8, 99u8, 0u8, 97u8,
            0u8, 108u8, 0u8, 71u8, 0u8, 66u8, 0u8, 77u8, 0u8, 66u8, 0u8, 75u8, 0u8, 66u8, 0u8,
            107u8, 0u8, 65u8, 0u8, 109u8, 0u8, 65u8, 0u8, 188u8, 3u8, 65u8, 0u8, 110u8, 0u8,
            65u8, 0u8, 112u8, 0u8, 65u8, 0u8, 42u8, 104u8, 15u8, 95u8, 26u8, 79u8, 62u8, 121u8,
            14u8, 102u8, 187u8, 108u8, 39u8, 89u8, 99u8, 107u8, 45u8, 102u8, 140u8, 84u8,
            115u8, 94u8, 16u8, 98u8, 73u8, 0u8, 85u8, 0u8, 100u8, 0u8, 109u8, 0u8, 51u8, 0u8,
            100u8, 0u8, 109u8, 0u8, 50u8, 0u8, 112u8, 0u8, 99u8, 0u8, 111u8, 0u8, 86u8, 0u8,
            98u8, 0u8, 97u8, 0u8, 114u8, 0u8, 65u8, 0u8, 85u8, 0u8, 100u8, 0u8, 97u8, 0u8,
            104u8, 0u8, 80u8, 0u8, 97u8, 0u8, 50u8, 0u8, 52u8, 0u8, 185u8, 112u8, 50u8, 0u8,
            51u8, 0u8, 185u8, 112u8, 50u8, 0u8, 50u8, 0u8, 185u8, 112u8, 50u8, 0u8, 49u8, 0u8,
            185u8, 112u8, 50u8, 0u8, 48u8, 0u8, 185u8, 112u8, 49u8, 0u8, 57u8, 0u8, 185u8,
            112u8, 49u8, 0u8, 56u8, 0u8, 185u8, 112u8, 49u8, 0u8, 55u8, 0u8, 185u8, 112u8,
            49u8, 0u8, 54u8, 0u8, 185u8, 112u8, 49u8, 0u8, 53u8, 0u8, 185u8, 112u8, 49u8, 0u8,
            52u8, 0u8, 185u8, 112u8, 49u8, 0u8, 51u8, 0u8, 185u8, 112u8, 49u8, 0u8, 50u8, 0u8,
            185u8, 112u8, 49u8, 0u8, 49u8, 0u8, 185u8, 112u8, 49u8, 0u8, 48u8, 0u8, 185u8,
            112u8, 239u8, 48u8, 195u8, 48u8, 200u8, 48u8, 236u8, 48u8, 243u8, 48u8, 200u8,
            48u8, 177u8, 48u8, 153u8, 48u8, 243u8, 48u8, 236u8, 48u8, 224u8, 48u8, 235u8, 48u8,
            252u8, 48u8, 213u8, 48u8, 153u8, 48u8, 235u8, 48u8, 235u8, 48u8, 210u8, 48u8,
            154u8, 48u8, 252u8, 48u8, 234u8, 48u8, 233u8, 48u8, 234u8, 48u8, 195u8, 48u8,
            200u8, 48u8, 235u8, 48u8, 230u8, 48u8, 162u8, 48u8, 243u8, 48u8, 228u8, 48u8,
            252u8, 48u8, 235u8, 48u8, 228u8, 48u8, 252u8, 48u8, 200u8, 48u8, 153u8, 48u8,
            225u8, 48u8, 252u8, 48u8, 200u8, 48u8, 235u8, 48u8, 225u8, 48u8, 171u8, 48u8,
            153u8, 48u8, 200u8, 48u8, 243u8, 48u8, 223u8, 48u8, 234u8, 48u8, 207u8, 48u8,
            153u8, 48u8, 252u8, 48u8, 235u8, 48u8, 223u8, 48u8, 175u8, 48u8, 237u8, 48u8,
            243u8, 48u8, 222u8, 48u8, 243u8, 48u8, 183u8, 48u8, 231u8, 48u8, 243u8, 48u8,
            222u8, 48u8, 235u8, 48u8, 175u8, 48u8, 222u8, 48u8, 195u8, 48u8, 207u8, 48u8,
            222u8, 48u8, 164u8, 48u8, 235u8, 48u8, 222u8, 48u8, 164u8, 48u8, 175u8, 48u8,
            237u8, 48u8, 219u8, 48u8, 252u8, 48u8, 243u8, 48u8, 219u8, 48u8, 252u8, 48u8,
            235u8, 48u8, 219u8, 48u8, 154u8, 48u8, 243u8, 48u8, 200u8, 48u8, 153u8, 48u8,
            219u8, 48u8, 243u8, 48u8, 219u8, 48u8, 153u8, 48u8, 235u8, 48u8, 200u8, 48u8,
            219u8, 48u8, 154u8, 48u8, 164u8, 48u8, 243u8, 48u8, 200u8, 48u8, 216u8, 48u8,
            153u8, 48u8, 252u8, 48u8, 191u8, 48u8, 216u8, 48u8, 154u8, 48u8, 252u8, 48u8,
            183u8, 48u8, 153u8, 48u8, 216u8, 48u8, 154u8, 48u8, 243u8, 48u8, 185u8, 48u8,
            216u8, 48u8, 235u8, 48u8, 196u8, 48u8, 216u8, 48u8, 154u8, 48u8, 203u8, 48u8,
            210u8, 48u8, 216u8, 48u8, 154u8, 48u8, 189u8, 48u8, 216u8, 48u8, 175u8, 48u8,
            191u8, 48u8, 252u8, 48u8, 235u8, 48u8, 213u8, 48u8, 233u8, 48u8, 243u8, 48u8,
            213u8, 48u8, 153u8, 48u8, 195u8, 48u8, 183u8, 48u8, 167u8, 48u8, 235u8, 48u8,
            213u8, 48u8, 163u8, 48u8, 252u8, 48u8, 200u8, 48u8, 213u8, 48u8, 161u8, 48u8,
            233u8, 48u8, 195u8, 48u8, 200u8, 48u8, 153u8, 48u8, 210u8, 48u8, 153u8, 48u8,
            235u8, 48u8, 210u8, 48u8, 154u8, 48u8, 179u8, 48u8, 210u8, 48u8, 154u8, 48u8,
            175u8, 48u8, 235u8, 48u8, 210u8, 48u8, 154u8, 48u8, 162u8, 48u8, 185u8, 48u8,
            200u8, 48u8, 235u8, 48u8, 207u8, 48u8, 153u8, 48u8, 252u8, 48u8, 236u8, 48u8,
            235u8, 48u8, 207u8, 48u8, 154u8, 48u8, 252u8, 48u8, 196u8, 48u8, 207u8, 48u8,
            154u8, 48u8, 252u8, 48u8, 187u8, 48u8, 243u8, 48u8, 200u8, 48u8, 207u8, 48u8,
            164u8, 48u8, 196u8, 48u8, 206u8, 48u8, 195u8, 48u8, 200u8, 48u8, 202u8, 48u8,
            206u8, 48u8, 200u8, 48u8, 153u8, 48u8, 235u8, 48u8, 198u8, 48u8, 153u8, 48u8,
            183u8, 48u8, 191u8, 48u8, 153u8, 48u8, 252u8, 48u8, 185u8, 48u8, 187u8, 48u8,
            243u8, 48u8, 193u8, 48u8, 183u8, 48u8, 234u8, 48u8, 243u8, 48u8, 175u8, 48u8,
            153u8, 48u8, 181u8, 48u8, 243u8, 48u8, 193u8, 48u8, 252u8, 48u8, 224u8, 48u8,
            181u8, 48u8, 164u8, 48u8, 175u8, 48u8, 235u8, 48u8, 179u8, 48u8, 252u8, 48u8,
            219u8, 48u8, 154u8, 48u8, 179u8, 48u8, 235u8, 48u8, 202u8, 48u8, 177u8, 48u8,
            252u8, 48u8, 185u8, 48u8, 175u8, 48u8, 237u8, 48u8, 252u8, 48u8, 205u8, 48u8,
            175u8, 48u8, 235u8, 48u8, 187u8, 48u8, 153u8, 48u8, 164u8, 48u8, 237u8, 48u8,
            175u8, 48u8, 153u8, 48u8, 233u8, 48u8, 224u8, 48u8, 200u8, 48u8, 243u8, 48u8,
