# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty; Break type.
NU SY ; Yes ;  ; 
NU CLmEastAsian ; Yes ;  ; 
HL HY ; Yes ;  ; 
JL QU_Pi ; Yes ;  ; 
JL ZWJ ; Yes ;  ; 
PR_EastAsian ZWJ ; Yes ;  ; 
ID_EastAsian ZWJ ; Yes ;  ; 
CL_EastAsian ZWJ ; Yes ;  ; 
AL_EastAsian ZWJ ; Yes ;  ; 
EB_EastAsian ZWJ ; Yes ;  ; 
BA_EastAsian ZWJ ; Yes ;  ; 
CJ ZWJ ; Yes ;  ; 
H2 ZWJ ; Yes ;  ; 
H3 ZWJ ; Yes ;  ; 
PO_EastAsian ZWJ ; Yes ;  ; 
EM ZWJ ; Yes ;  ; 
EAST_ASIAN_LOOSE_IN ZWJ ; Yes ;  ; 
EAST_ASIAN_ID_AL ZWJ ; Yes ;  ; 
EAST_ASIAN_PHRASE_H2 ZWJ ; Yes ;  ; 
EAST_ASIAN_PHRASE_H3 ZWJ ; Yes ;  ; 
NU CL_EastAsian ZWJ ; Yes ;  ; 
AK VI ; Yes ;  ; 
B2 SP ; Yes ;  ; 
RI ZWJ ; Yes ;  ; 
JL QU_Pf ZWJ ; Yes ;  ; 
OPmEastAsian SP IS ZWJ ; Yes ;  ; 
RI RI ZWJ ; Yes ;  ; 
RI ZWJ RI ZWJ ; Yes ;  ; 
JL ; Yes ; ZW / CM ; 
ZW ; Yes ; ZW / CM ; 
PR_EastAsian ; Yes ; ZW / CM ; 
ID_EastAsian ; Yes ; ZW / CM ; 
CL_EastAsian ; Yes ; ZW / CM ; 
CJ ; Yes ; ZW / CM ; 
AL_EastAsian ; Yes ; ZW / CM ; 
EB_EastAsian ; Yes ; ZW / CM ; 
BA_EastAsian ; Yes ; ZW / CM ; 
H2 ; Yes ; ZW / CM ; 
H3 ; Yes ; ZW / CM ; 
PO_EastAsian ; Yes ; ZW / CM ; 
EM ; Yes ; ZW / CM ; 
EAST_ASIAN_LOOSE_IN ; Yes ; ZW / CM ; 
EAST_ASIAN_ID_AL ; Yes ; ZW / CM ; 
EAST_ASIAN_PHRASE_H2 ; Yes ; ZW / CM ; 
EAST_ASIAN_PHRASE_H3 ; Yes ; ZW / CM ; 
NU CL_EastAsian ; Yes ; ZW / CM ; 
JL QU_Pf ; Yes ; ZW / CM ; 
ZW SP ; Yes ; ZW / CM ; 
OPmEastAsian SP IS ; Yes ; ZW / CM ; 
RI ZWJ RI ; Yes ; ZW / CM ; 
SP IS ; No ; ZW / CM ; 
RI RI ; No ; ZW / CM ; 
ZW CM ; ZW / CM ;  ; 
JL QU_Pi OP_EastAsian ; ZW / CM ;  ; 
JL QU_Pi GL_EastAsian ; ZW / CM ;  ; 
ZW SP EXmEastAsian ; ZW / CM ;  ; 
ZW SP CLmEastAsian ; ZW / CM ;  ; 
ZW SP CP ; ZW / CM ;  ; 
ZW SP SY ; ZW / CM ;  ; 
ZW SP QU_Pf ; ZW / CM ;  ; 
ZW SP WJ ; ZW / CM ;  ; 
JL QU_Pi JL ; ZW / CM ; ZW / CM ; 
JL QU_Pi PR_EastAsian ; ZW / CM ; ZW / CM ; 
JL QU_Pi ID_EastAsian ; ZW / CM ; ZW / CM ; 
JL QU_Pi CL_EastAsian ; ZW / CM ; ZW / CM ; 
JL QU_Pi CJ ; ZW / CM ; ZW / CM ; 
JL QU_Pi AL_EastAsian ; ZW / CM ; ZW / CM ; 
JL QU_Pi EB_EastAsian ; ZW / CM ; ZW / CM ; 
JL QU_Pi BA_EastAsian ; ZW / CM ; ZW / CM ; 
JL QU_Pi H2 ; ZW / CM ; ZW / CM ; 
JL QU_Pi H3 ; ZW / CM ; ZW / CM ; 
JL QU_Pi PO_EastAsian ; ZW / CM ; ZW / CM ; 
JL QU_Pi EM ; ZW / CM ; ZW / CM ; 
JL QU_Pi EAST_ASIAN_LOOSE_IN ; ZW / CM ; ZW / CM ; 
JL QU_Pi EAST_ASIAN_ID_AL ; ZW / CM ; ZW / CM ; 
JL QU_Pi EAST_ASIAN_PHRASE_H2 ; ZW / CM ; ZW / CM ; 
JL QU_Pi EAST_ASIAN_PHRASE_H3 ; ZW / CM ; ZW / CM ; 
ZW SP IS ; ZW / CM ; ZW / CM ; 
RI ZWJ RI RI ; ZW / CM ; ZW / CM ; 
