# From state ; class name or eot ; to state
START ; eot ; eot
SP IS ZWJ ; NSmEastAsian ; EXmEastAsian
SP IS ZWJ ; AK ; AK
SP IS ZWJ ; VI ; EXmEastAsian
SP IS ZWJ ; AS ; AK
SP IS ZWJ ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
SP IS ZWJ ; VF ; EXmEastAsian
SP IS ZWJ ; ZW ; ZW
SP IS ZWJ ; ZWJ ; SP IS ZWJ
SP IS ZWJ ; B2 ; B2
SP IS ZWJ ; INmEastAsian ; EXmEastAsian
SP IS ZWJ ; WJ ; WJ
SP IS ZWJ ; PR_EastAsian ; PR_EastAsian
SP IS ZWJ ; ID_EastAsian ; ID_EastAsian
SP IS ZWJ ; OP_EastAsian ; OP_EastAsian
SP IS ZWJ ; CL_EastAsian ; CL_EastAsian
SP IS ZWJ ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
SP IS ZWJ ; AL_DottedCircle ; AL_DottedCircle
SP IS ZWJ ; ID_ExtPictUnassigned|EBmEastAsian ; EBmEastAsian
SP IS ZWJ ; EB_EastAsian ; EB_EastAsian
SP IS ZWJ ; BA_EastAsian ; BA_EastAsian
SP IS ZWJ ; NS_EastAsian|CJ ; CJ
SP IS ZWJ ; H2 ; H2
SP IS ZWJ ; H3 ; H3
SP IS ZWJ ; EX_EastAsian ; CJ
SP IS ZWJ ; IN_EastAsian ; CJ
SP IS ZWJ ; PO_EastAsian ; PO_EastAsian
SP IS ZWJ ; CB ; CB
SP IS ZWJ ; AP ; AP
SP IS ZWJ ; GL_EastAsian ; GL_EastAsian
SP IS ZWJ ; RI ; RI
SP IS ZWJ ; EM ; ID_EastAsian
SP IS ZWJ ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
SP IS ZWJ ; SAmMnmMc ; CM
SP IS ZWJ ; SA_Mn|SA_Mc ; SP IS CM
CR ; LF ; eot
CM ; eot ; eot
CM ; CM ; CM
CM ; BAmEastAsian ; BAmEastAsian
CM ; LF ; eot
CM ; BK|NL ; eot
CM ; CR ; CR
CM ; SP ; SP
CM ; EXmEastAsian ; EXmEastAsian
CM ; QUmPimPf ; QUmPimPf
CM ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
CM ; PRmEastAsian ; PRmEastAsian
CM ; POmEastAsian ; POmEastAsian
CM ; OPmEastAsian ; OPmEastAsian
CM ; CP ; CP
CM ; IS ; IS
CM ; HY ; CM HY
CM ; SY ; SY
CM ; NU ; NU
CM ; CLmEastAsian ; CLmEastAsian
CM ; GLmEastAsian ; GLmEastAsian
CM ; QU_Pi ; QUmPimPf
CM ; QU_Pf ; QUmPimPf
CM ; HH ; BAmEastAsian
CM ; HL ; HL
CM ; NSmEastAsian ; EXmEastAsian
CM ; ZW ; ZW
CM ; ZWJ ; ZWJ
CM ; INmEastAsian ; EXmEastAsian
CM ; WJ ; WJ
CM ; PR_EastAsian ; PR_EastAsian
CM ; CL_EastAsian ; CL_EastAsian
CM ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
CM ; AL_DottedCircle ; AL_DottedCircle
CM ; BA_EastAsian ; BA_EastAsian
CM ; NS_EastAsian|CJ ; CJ
CM ; EX_EastAsian ; CJ
CM ; IN_EastAsian ; CJ
CM ; PO_EastAsian ; PO_EastAsian
CM ; GL_EastAsian ; GL_EastAsian
CM ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
CM ; SAmMnmMc ; CM
CM ; SA_Mn|SA_Mc ; CM
NU ; eot ; eot
NU ; CM ; NU
NU ; BAmEastAsian ; BAmEastAsian
NU ; LF ; eot
NU ; BK|NL ; eot
NU ; CR ; CR
NU ; SP ; SP
NU ; EXmEastAsian ; EXmEastAsian
NU ; QUmPimPf ; QUmPimPf
NU ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
NU ; PRmEastAsian ; PRmEastAsian
NU ; POmEastAsian ; POmEastAsian
NU ; OPmEastAsian ; OPmEastAsian
NU ; CP ; NU CP
NU ; IS ; NU IS
NU ; HY ; CM HY
NU ; SY ; NU SY
NU ; NU ; NU
NU ; CLmEastAsian ; NU CLmEastAsian
NU ; GLmEastAsian ; GLmEastAsian
NU ; QU_Pi ; QUmPimPf
NU ; QU_Pf ; QUmPimPf
NU ; HH ; BAmEastAsian
NU ; HL ; HL
NU ; NSmEastAsian ; EXmEastAsian
NU ; ZW ; ZW
NU ; ZWJ ; NU ZWJ
NU ; INmEastAsian ; EXmEastAsian
NU ; WJ ; WJ
NU ; PR_EastAsian ; PR_EastAsian
NU ; CL_EastAsian ; NU CL_EastAsian
NU ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
NU ; AL_DottedCircle ; AL_DottedCircle
NU ; BA_EastAsian ; BA_EastAsian
NU ; NS_EastAsian|CJ ; CJ
NU ; EX_EastAsian ; CJ
NU ; IN_EastAsian ; CJ
NU ; PO_EastAsian ; PO_EastAsian
NU ; GL_EastAsian ; GL_EastAsian
NU ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
NU ; SAmMnmMc ; CM
NU ; SA_Mn|SA_Mc ; NU
HL ; eot ; eot
HL ; CM ; HL
HL ; BAmEastAsian ; BAmEastAsian
HL ; LF ; eot
HL ; BK|NL ; eot
HL ; CR ; CR
HL ; SP ; SP
HL ; EXmEastAsian ; EXmEastAsian
HL ; QUmPimPf ; QUmPimPf
HL ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
HL ; PRmEastAsian ; PRmEastAsian
HL ; POmEastAsian ; POmEastAsian
HL ; OPmEastAsian ; OPmEastAsian
HL ; CP ; CP
HL ; IS ; IS
HL ; HY ; HL HY
HL ; SY ; SY
HL ; NU ; NU
HL ; CLmEastAsian ; CLmEastAsian
HL ; GLmEastAsian ; GLmEastAsian
HL ; QU_Pi ; QUmPimPf
HL ; QU_Pf ; QUmPimPf
HL ; HH ; HL HY
HL ; HL ; HL
HL ; NSmEastAsian ; EXmEastAsian
HL ; ZW ; ZW
HL ; ZWJ ; HL ZWJ
HL ; INmEastAsian ; EXmEastAsian
HL ; WJ ; WJ
HL ; PR_EastAsian ; PR_EastAsian
HL ; CL_EastAsian ; CL_EastAsian
HL ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
HL ; AL_DottedCircle ; AL_DottedCircle
HL ; BA_EastAsian ; BA_EastAsian
HL ; NS_EastAsian|CJ ; CJ
HL ; EX_EastAsian ; CJ
HL ; IN_EastAsian ; CJ
HL ; PO_EastAsian ; PO_EastAsian
HL ; GL_EastAsian ; GL_EastAsian
HL ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
HL ; SAmMnmMc ; CM
HL ; SA_Mn|SA_Mc ; HL
BAmEastAsian ; eot ; eot
BAmEastAsian ; CM ; BAmEastAsian
BAmEastAsian ; BAmEastAsian ; BAmEastAsian
BAmEastAsian ; LF ; eot
BAmEastAsian ; BK|NL ; eot
BAmEastAsian ; CR ; CR
BAmEastAsian ; SP ; SP
BAmEastAsian ; EXmEastAsian ; EXmEastAsian
BAmEastAsian ; QUmPimPf ; QUmPimPf
BAmEastAsian ; CP ; CP
BAmEastAsian ; IS ; IS
BAmEastAsian ; HY ; CM HY
BAmEastAsian ; SY ; SY
BAmEastAsian ; CLmEastAsian ; CLmEastAsian
BAmEastAsian ; QU_Pi ; QUmPimPf
BAmEastAsian ; QU_Pf ; QUmPimPf
BAmEastAsian ; HH ; BAmEastAsian
BAmEastAsian ; NSmEastAsian ; EXmEastAsian
BAmEastAsian ; ZW ; ZW
BAmEastAsian ; ZWJ ; BAmEastAsian ZWJ
BAmEastAsian ; INmEastAsian ; EXmEastAsian
BAmEastAsian ; WJ ; WJ
BAmEastAsian ; CL_EastAsian ; CL_EastAsian
BAmEastAsian ; BA_EastAsian ; BA_EastAsian
BAmEastAsian ; NS_EastAsian|CJ ; CJ
BAmEastAsian ; EX_EastAsian ; CJ
BAmEastAsian ; IN_EastAsian ; CJ
BAmEastAsian ; SA_Mn|SA_Mc ; BAmEastAsian
SP ; eot ; eot
SP ; LF ; eot
SP ; BK|NL ; eot
SP ; CR ; CR
SP ; SP ; SP
SP ; EXmEastAsian ; EXmEastAsian
SP ; CP ; CP
SP ; IS ; SP IS
SP ; SY ; SY
SP ; CLmEastAsian ; CLmEastAsian
SP ; QU_Pf ; SP QU_Pf
SP ; ZW ; ZW
SP ; WJ ; WJ
SP ; CL_EastAsian ; CL_EastAsian
SP ; EX_EastAsian ; CJ
EXmEastAsian ; eot ; eot
EXmEastAsian ; CM ; EXmEastAsian
EXmEastAsian ; BAmEastAsian ; BAmEastAsian
EXmEastAsian ; LF ; eot
EXmEastAsian ; BK|NL ; eot
EXmEastAsian ; CR ; CR
EXmEastAsian ; SP ; SP
EXmEastAsian ; EXmEastAsian ; EXmEastAsian
EXmEastAsian ; QUmPimPf ; QUmPimPf
EXmEastAsian ; CP ; CP
EXmEastAsian ; IS ; IS
EXmEastAsian ; HY ; CM HY
EXmEastAsian ; SY ; SY
EXmEastAsian ; CLmEastAsian ; CLmEastAsian
EXmEastAsian ; GLmEastAsian ; GLmEastAsian
EXmEastAsian ; QU_Pi ; QUmPimPf
EXmEastAsian ; QU_Pf ; QUmPimPf
EXmEastAsian ; HH ; BAmEastAsian
EXmEastAsian ; NSmEastAsian ; EXmEastAsian
EXmEastAsian ; ZW ; ZW
EXmEastAsian ; ZWJ ; EXmEastAsian ZWJ
EXmEastAsian ; INmEastAsian ; EXmEastAsian
EXmEastAsian ; WJ ; WJ
EXmEastAsian ; CL_EastAsian ; CL_EastAsian
EXmEastAsian ; BA_EastAsian ; BA_EastAsian
EXmEastAsian ; NS_EastAsian|CJ ; CJ
EXmEastAsian ; EX_EastAsian ; CJ
EXmEastAsian ; IN_EastAsian ; CJ
EXmEastAsian ; GL_EastAsian ; GL_EastAsian
EXmEastAsian ; SA_Mn|SA_Mc ; EXmEastAsian
CLmEastAsian ; eot ; eot
CLmEastAsian ; CM ; CLmEastAsian
CLmEastAsian ; BAmEastAsian ; BAmEastAsian
CLmEastAsian ; LF ; eot
CLmEastAsian ; BK|NL ; eot
CLmEastAsian ; CR ; CR
CLmEastAsian ; SP ; CP SP
CLmEastAsian ; EXmEastAsian ; EXmEastAsian
CLmEastAsian ; QUmPimPf ; QUmPimPf
CLmEastAsian ; CP ; CP
CLmEastAsian ; IS ; IS
CLmEastAsian ; HY ; CM HY
CLmEastAsian ; SY ; SY
CLmEastAsian ; CLmEastAsian ; CLmEastAsian
CLmEastAsian ; GLmEastAsian ; GLmEastAsian
CLmEastAsian ; QU_Pi ; QUmPimPf
CLmEastAsian ; QU_Pf ; QUmPimPf
CLmEastAsian ; HH ; BAmEastAsian
CLmEastAsian ; NSmEastAsian ; EXmEastAsian
CLmEastAsian ; ZW ; ZW
CLmEastAsian ; ZWJ ; CLmEastAsian ZWJ
CLmEastAsian ; INmEastAsian ; EXmEastAsian
CLmEastAsian ; WJ ; WJ
CLmEastAsian ; CL_EastAsian ; CL_EastAsian
CLmEastAsian ; BA_EastAsian ; BA_EastAsian
CLmEastAsian ; NS_EastAsian|CJ ; CJ
CLmEastAsian ; EX_EastAsian ; CJ
CLmEastAsian ; IN_EastAsian ; CJ
CLmEastAsian ; GL_EastAsian ; GL_EastAsian
CLmEastAsian ; SA_Mn|SA_Mc ; CLmEastAsian
QUmPimPf ; eot ; eot
QUmPimPf ; CM ; QUmPimPf
QUmPimPf ; BAmEastAsian ; BAmEastAsian
QUmPimPf ; LF ; eot
QUmPimPf ; BK|NL ; eot
QUmPimPf ; CR ; CR
QUmPimPf ; SP ; SP
QUmPimPf ; EXmEastAsian ; EXmEastAsian
QUmPimPf ; QUmPimPf ; QUmPimPf
QUmPimPf ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
QUmPimPf ; PRmEastAsian ; PRmEastAsian
QUmPimPf ; POmEastAsian ; POmEastAsian
QUmPimPf ; OPmEastAsian ; OPmEastAsian
QUmPimPf ; CP ; CP
QUmPimPf ; IS ; IS
QUmPimPf ; HY ; CM HY
QUmPimPf ; SY ; SY
QUmPimPf ; NU ; NU
QUmPimPf ; CLmEastAsian ; CLmEastAsian
QUmPimPf ; GLmEastAsian ; GLmEastAsian
QUmPimPf ; QU_Pi ; OPmEastAsian
QUmPimPf ; BB ; BB
QUmPimPf ; QU_Pf ; QUmPimPf
QUmPimPf ; HH ; BAmEastAsian
QUmPimPf ; HL ; HL
QUmPimPf ; JL ; JL
QUmPimPf ; JV ; JV
QUmPimPf ; JT ; JT
QUmPimPf ; NSmEastAsian ; EXmEastAsian
QUmPimPf ; AK ; AK
QUmPimPf ; VI ; EXmEastAsian
QUmPimPf ; AS ; AK
QUmPimPf ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
QUmPimPf ; VF ; EXmEastAsian
QUmPimPf ; ZW ; ZW
QUmPimPf ; ZWJ ; QUmPimPf
QUmPimPf ; B2 ; B2
QUmPimPf ; INmEastAsian ; EXmEastAsian
QUmPimPf ; WJ ; WJ
QUmPimPf ; PR_EastAsian ; PR_EastAsian
QUmPimPf ; ID_EastAsian ; ID_EastAsian
QUmPimPf ; OP_EastAsian ; OP_EastAsian
QUmPimPf ; CL_EastAsian ; CL_EastAsian
QUmPimPf ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
QUmPimPf ; AL_DottedCircle ; AL_DottedCircle
QUmPimPf ; ID_ExtPictUnassigned|EBmEastAsian ; EBmEastAsian
QUmPimPf ; EB_EastAsian ; EB_EastAsian
QUmPimPf ; BA_EastAsian ; BA_EastAsian
QUmPimPf ; NS_EastAsian|CJ ; CJ
QUmPimPf ; H2 ; H2
QUmPimPf ; H3 ; H3
QUmPimPf ; EX_EastAsian ; CJ
QUmPimPf ; IN_EastAsian ; CJ
QUmPimPf ; PO_EastAsian ; PO_EastAsian
QUmPimPf ; CB ; CB
QUmPimPf ; AP ; AP
QUmPimPf ; GL_EastAsian ; GL_EastAsian
QUmPimPf ; RI ; RI
QUmPimPf ; EM ; ID_EastAsian
QUmPimPf ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
QUmPimPf ; SAmMnmMc ; CM
QUmPimPf ; SA_Mn|SA_Mc ; QUmPimPf
WJ ; eot ; eot
WJ ; CM ; WJ
WJ ; BAmEastAsian ; BAmEastAsian
WJ ; LF ; eot
WJ ; BK|NL ; eot
WJ ; CR ; CR
WJ ; SP ; SP
WJ ; EXmEastAsian ; EXmEastAsian
WJ ; QUmPimPf ; QUmPimPf
WJ ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
WJ ; PRmEastAsian ; PRmEastAsian
WJ ; POmEastAsian ; POmEastAsian
WJ ; OPmEastAsian ; OPmEastAsian
WJ ; CP ; CP
WJ ; IS ; IS
WJ ; HY ; CM HY
WJ ; SY ; SY
WJ ; NU ; NU
WJ ; CLmEastAsian ; CLmEastAsian
WJ ; GLmEastAsian ; GLmEastAsian
WJ ; QU_Pi ; QUmPimPf
WJ ; BB ; BB
WJ ; QU_Pf ; QUmPimPf
WJ ; HH ; BAmEastAsian
WJ ; HL ; HL
WJ ; JL ; JL
WJ ; JV ; JV
WJ ; JT ; JT
WJ ; NSmEastAsian ; EXmEastAsian
WJ ; AK ; AK
WJ ; VI ; EXmEastAsian
WJ ; AS ; AK
WJ ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
WJ ; VF ; EXmEastAsian
WJ ; ZW ; ZW
WJ ; ZWJ ; WJ
WJ ; B2 ; B2
WJ ; INmEastAsian ; EXmEastAsian
WJ ; WJ ; WJ
WJ ; PR_EastAsian ; PR_EastAsian
WJ ; ID_EastAsian ; ID_EastAsian
WJ ; OP_EastAsian ; OP_EastAsian
WJ ; CL_EastAsian ; CL_EastAsian
WJ ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
WJ ; AL_DottedCircle ; AL_DottedCircle
WJ ; ID_ExtPictUnassigned|EBmEastAsian ; EBmEastAsian
WJ ; EB_EastAsian ; EB_EastAsian
WJ ; BA_EastAsian ; BA_EastAsian
WJ ; NS_EastAsian|CJ ; CJ
WJ ; H2 ; H2
WJ ; H3 ; H3
WJ ; EX_EastAsian ; CJ
WJ ; IN_EastAsian ; CJ
WJ ; PO_EastAsian ; PO_EastAsian
WJ ; CB ; CB
WJ ; AP ; AP
WJ ; GL_EastAsian ; GL_EastAsian
WJ ; RI ; RI
WJ ; EM ; ID_EastAsian
WJ ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
WJ ; SAmMnmMc ; CM
WJ ; SA_Mn|SA_Mc ; WJ
OPmEastAsian ; eot ; eot
OPmEastAsian ; CM ; OPmEastAsian
OPmEastAsian ; BAmEastAsian ; BAmEastAsian
OPmEastAsian ; LF ; eot
OPmEastAsian ; BK|NL ; eot
OPmEastAsian ; CR ; CR
OPmEastAsian ; SP ; OPmEastAsian SP
OPmEastAsian ; EXmEastAsian ; EXmEastAsian
OPmEastAsian ; QUmPimPf ; QUmPimPf
OPmEastAsian ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
OPmEastAsian ; PRmEastAsian ; PRmEastAsian
OPmEastAsian ; POmEastAsian ; POmEastAsian
OPmEastAsian ; OPmEastAsian ; OPmEastAsian
OPmEastAsian ; CP ; CP
OPmEastAsian ; IS ; IS
OPmEastAsian ; HY ; CM HY
OPmEastAsian ; SY ; SY
OPmEastAsian ; NU ; NU
OPmEastAsian ; CLmEastAsian ; CLmEastAsian
OPmEastAsian ; GLmEastAsian ; GLmEastAsian
OPmEastAsian ; QU_Pi ; OPmEastAsian
OPmEastAsian ; BB ; BB
OPmEastAsian ; QU_Pf ; QUmPimPf
OPmEastAsian ; HH ; BAmEastAsian
OPmEastAsian ; HL ; HL
OPmEastAsian ; JL ; JL
OPmEastAsian ; JV ; JV
OPmEastAsian ; JT ; JT
OPmEastAsian ; NSmEastAsian ; EXmEastAsian
OPmEastAsian ; AK ; AK
OPmEastAsian ; VI ; EXmEastAsian
OPmEastAsian ; AS ; AK
OPmEastAsian ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
OPmEastAsian ; VF ; EXmEastAsian
OPmEastAsian ; ZW ; ZW
OPmEastAsian ; ZWJ ; OPmEastAsian
OPmEastAsian ; B2 ; B2
OPmEastAsian ; INmEastAsian ; EXmEastAsian
OPmEastAsian ; WJ ; WJ
OPmEastAsian ; PR_EastAsian ; PR_EastAsian
OPmEastAsian ; ID_EastAsian ; ID_EastAsian
OPmEastAsian ; OP_EastAsian ; OP_EastAsian
OPmEastAsian ; CL_EastAsian ; CL_EastAsian
OPmEastAsian ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
OPmEastAsian ; AL_DottedCircle ; AL_DottedCircle
OPmEastAsian ; ID_ExtPictUnassigned|EBmEastAsian ; EBmEastAsian
OPmEastAsian ; EB_EastAsian ; EB_EastAsian
OPmEastAsian ; BA_EastAsian ; BA_EastAsian
OPmEastAsian ; NS_EastAsian|CJ ; CJ
OPmEastAsian ; H2 ; H2
OPmEastAsian ; H3 ; H3
OPmEastAsian ; EX_EastAsian ; CJ
OPmEastAsian ; IN_EastAsian ; CJ
OPmEastAsian ; PO_EastAsian ; PO_EastAsian
OPmEastAsian ; CB ; CB
OPmEastAsian ; AP ; AP
OPmEastAsian ; GL_EastAsian ; GL_EastAsian
OPmEastAsian ; RI ; RI
OPmEastAsian ; EM ; ID_EastAsian
OPmEastAsian ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
OPmEastAsian ; SAmMnmMc ; CM
OPmEastAsian ; SA_Mn|SA_Mc ; OPmEastAsian
GLmEastAsian ; eot ; eot
GLmEastAsian ; CM ; GLmEastAsian
GLmEastAsian ; BAmEastAsian ; BAmEastAsian
GLmEastAsian ; LF ; eot
GLmEastAsian ; BK|NL ; eot
GLmEastAsian ; CR ; CR
GLmEastAsian ; SP ; SP
GLmEastAsian ; EXmEastAsian ; EXmEastAsian
GLmEastAsian ; QUmPimPf ; QUmPimPf
GLmEastAsian ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
GLmEastAsian ; PRmEastAsian ; PRmEastAsian
GLmEastAsian ; POmEastAsian ; POmEastAsian
GLmEastAsian ; OPmEastAsian ; OPmEastAsian
GLmEastAsian ; CP ; CP
GLmEastAsian ; IS ; IS
GLmEastAsian ; HY ; HY
GLmEastAsian ; SY ; SY
GLmEastAsian ; NU ; NU
GLmEastAsian ; CLmEastAsian ; CLmEastAsian
GLmEastAsian ; GLmEastAsian ; GLmEastAsian
GLmEastAsian ; QU_Pi ; OPmEastAsian
GLmEastAsian ; BB ; BB
GLmEastAsian ; QU_Pf ; QUmPimPf
GLmEastAsian ; HH ; HH
GLmEastAsian ; HL ; HL
GLmEastAsian ; JL ; JL
GLmEastAsian ; JV ; JV
GLmEastAsian ; JT ; JT
GLmEastAsian ; NSmEastAsian ; EXmEastAsian
GLmEastAsian ; AK ; AK
GLmEastAsian ; VI ; EXmEastAsian
GLmEastAsian ; AS ; AK
GLmEastAsian ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
GLmEastAsian ; VF ; EXmEastAsian
GLmEastAsian ; ZW ; ZW
GLmEastAsian ; ZWJ ; GLmEastAsian
GLmEastAsian ; B2 ; B2
GLmEastAsian ; INmEastAsian ; EXmEastAsian
GLmEastAsian ; WJ ; WJ
GLmEastAsian ; PR_EastAsian ; PR_EastAsian
GLmEastAsian ; ID_EastAsian ; ID_EastAsian
GLmEastAsian ; OP_EastAsian ; OP_EastAsian
GLmEastAsian ; CL_EastAsian ; CL_EastAsian
GLmEastAsian ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
GLmEastAsian ; AL_DottedCircle ; AL_DottedCircle
GLmEastAsian ; ID_ExtPictUnassigned|EBmEastAsian ; EBmEastAsian
GLmEastAsian ; EB_EastAsian ; EB_EastAsian
GLmEastAsian ; BA_EastAsian ; BA_EastAsian
GLmEastAsian ; NS_EastAsian|CJ ; CJ
GLmEastAsian ; H2 ; H2
GLmEastAsian ; H3 ; H3
GLmEastAsian ; EX_EastAsian ; CJ
GLmEastAsian ; IN_EastAsian ; CJ
GLmEastAsian ; PO_EastAsian ; PO_EastAsian
