# From state ; symbol ; to state
START ; XXmExtPictmHiraganamHanmComplexContext ; XXmExtPictmHiraganamHanmComplexContext
ExtendNumLet ZWJ ; Numeric ; Numeric
ExtendNumLet ZWJ ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
ExtendNumLet ZWJ ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
ExtendNumLet ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
ExtendNumLet ZWJ ; ExtendmHanmComplexContext|Format ; ExtendNumLet
ExtendNumLet ZWJ ; Hebrew_Letter ; Hebrew_Letter
ExtendNumLet ZWJ ; ZWJ ; ExtendNumLet ZWJ
ExtendNumLet ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
ExtendNumLet ZWJ ; Extend_Han|Extend_ComplexContext ; ExtendNumLet
ExtendNumLet ZWJ ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
ExtendNumLet ZWJ ; Katakana ; Katakana
RI ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
RI ZWJ ; ExtendmHanmComplexContext|Format ; RI
RI ZWJ ; ZWJ ; RI ZWJ
RI ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
RI ZWJ ; RI ; XXmExtPictmHiraganamHanmComplexContext
RI ZWJ ; Extend_Han|Extend_ComplexContext ; RI
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; ExtendmHanmComplexContext|Format ; Hebrew_Letter Single_Quote ExtendmHanmComplexContext
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; Hebrew_Letter ; Hebrew_Letter
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; ZWJ ; Hebrew_Letter Single_Quote ZWJ
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; Extend_Han|Extend_ComplexContext ; Hebrew_Letter Single_Quote ExtendmHanmComplexContext
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ZWJ ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
Hebrew_Letter Single_Quote ZWJ ; ExtendmHanmComplexContext|Format ; Hebrew_Letter Single_Quote ExtendmHanmComplexContext
Hebrew_Letter Single_Quote ZWJ ; Hebrew_Letter ; Hebrew_Letter
Hebrew_Letter Single_Quote ZWJ ; ZWJ ; Hebrew_Letter Single_Quote ZWJ
Hebrew_Letter Single_Quote ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ZWJ ; Extend_Han|Extend_ComplexContext ; Hebrew_Letter Single_Quote ExtendmHanmComplexContext
Hebrew_Letter Single_Quote ZWJ ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Numeric ; Single_Quote ; Numeric Single_Quote
Numeric ; MidNum ; Numeric Single_Quote
Numeric ; MidNumLet ; Numeric Single_Quote
Numeric ; Numeric ; Numeric
Numeric ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Numeric ; ExtendNumLet ; Numeric ExtendNumLet
Numeric ; ExtendmHanmComplexContext|Format ; Numeric
Numeric ; Hebrew_Letter ; Hebrew_Letter
Numeric ; ZWJ ; Numeric ZWJ
Numeric ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Numeric ; Extend_Han|Extend_ComplexContext ; Numeric
Numeric ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Numeric ExtendNumLet ; Numeric ; Numeric
Numeric ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Numeric ExtendNumLet ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
Numeric ExtendNumLet ; ExtendmHanmComplexContext|Format ; ExtendNumLet
Numeric ExtendNumLet ; Hebrew_Letter ; Hebrew_Letter
Numeric ExtendNumLet ; ZWJ ; ExtendNumLet ZWJ
Numeric ExtendNumLet ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Numeric ExtendNumLet ; Extend_Han|Extend_ComplexContext ; ExtendNumLet
Numeric ExtendNumLet ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Numeric ExtendNumLet ; Katakana ; Katakana
Numeric ZWJ ; Single_Quote ; Numeric Single_Quote
Numeric ZWJ ; MidNum ; Numeric Single_Quote
Numeric ZWJ ; MidNumLet ; Numeric Single_Quote
Numeric ZWJ ; Numeric ; Numeric
Numeric ZWJ ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Numeric ZWJ ; ExtendNumLet ; Numeric ExtendNumLet
Numeric ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
Numeric ZWJ ; ExtendmHanmComplexContext|Format ; Numeric
Numeric ZWJ ; Hebrew_Letter ; Hebrew_Letter
Numeric ZWJ ; ZWJ ; Numeric ZWJ
Numeric ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Numeric ZWJ ; Extend_Han|Extend_ComplexContext ; Numeric
Numeric ZWJ ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ; Single_Quote ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan ; MidNumLet ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan ; Numeric ; Numeric
ALettermExtPictmHangulSyllablemHan ; MidLetter ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
ALettermExtPictmHangulSyllablemHan ; ExtendmHanmComplexContext|Format ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ; Hebrew_Letter ; Hebrew_Letter
ALettermExtPictmHangulSyllablemHan ; ZWJ ; ALettermExtPictmHangulSyllablemHan ZWJ
ALettermExtPictmHangulSyllablemHan ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ; Extend_Han|Extend_ComplexContext ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter ; Double_Quote ; Hebrew_Letter Double_Quote
Hebrew_Letter ; Single_Quote ; Hebrew_Letter Single_Quote
Hebrew_Letter ; MidNumLet ; ALettermExtPictmHangulSyllablemHan Single_Quote
Hebrew_Letter ; Numeric ; Numeric
Hebrew_Letter ; MidLetter ; ALettermExtPictmHangulSyllablemHan Single_Quote
Hebrew_Letter ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
Hebrew_Letter ; ExtendmHanmComplexContext|Format ; Hebrew_Letter
Hebrew_Letter ; Hebrew_Letter ; Hebrew_Letter
Hebrew_Letter ; ZWJ ; Hebrew_Letter ZWJ
Hebrew_Letter ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter ; Extend_Han|Extend_ComplexContext ; Hebrew_Letter
Hebrew_Letter ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; Numeric ; Numeric
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; ExtendmHanmComplexContext|Format ; ExtendNumLet
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; Hebrew_Letter ; Hebrew_Letter
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; ZWJ ; ExtendNumLet ZWJ
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; Extend_Han|Extend_ComplexContext ; ExtendNumLet
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; Katakana ; Katakana
ALettermExtPictmHangulSyllablemHan ZWJ ; Single_Quote ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan ZWJ ; MidNumLet ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan ZWJ ; Numeric ; Numeric
ALettermExtPictmHangulSyllablemHan ZWJ ; MidLetter ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan ZWJ ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ZWJ ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
ALettermExtPictmHangulSyllablemHan ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
ALettermExtPictmHangulSyllablemHan ZWJ ; ExtendmHanmComplexContext|Format ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ZWJ ; Hebrew_Letter ; Hebrew_Letter
ALettermExtPictmHangulSyllablemHan ZWJ ; ZWJ ; ALettermExtPictmHangulSyllablemHan ZWJ
ALettermExtPictmHangulSyllablemHan ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ZWJ ; Extend_Han|Extend_ComplexContext ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan ZWJ ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ; ExtendmHanmComplexContext|Format ; Hebrew_Letter Single_Quote ExtendmHanmComplexContext
Hebrew_Letter Single_Quote ; Hebrew_Letter ; Hebrew_Letter
Hebrew_Letter Single_Quote ; ZWJ ; Hebrew_Letter Single_Quote ZWJ
Hebrew_Letter Single_Quote ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Single_Quote ; Extend_Han|Extend_ComplexContext ; Hebrew_Letter Single_Quote ExtendmHanmComplexContext
Hebrew_Letter Single_Quote ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter ZWJ ; Double_Quote ; Hebrew_Letter Double_Quote
Hebrew_Letter ZWJ ; Single_Quote ; Hebrew_Letter Single_Quote
Hebrew_Letter ZWJ ; MidNumLet ; ALettermExtPictmHangulSyllablemHan Single_Quote
Hebrew_Letter ZWJ ; Numeric ; Numeric
Hebrew_Letter ZWJ ; MidLetter ; ALettermExtPictmHangulSyllablemHan Single_Quote
Hebrew_Letter ZWJ ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter ZWJ ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
Hebrew_Letter ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
Hebrew_Letter ZWJ ; ExtendmHanmComplexContext|Format ; Hebrew_Letter
Hebrew_Letter ZWJ ; Hebrew_Letter ; Hebrew_Letter
Hebrew_Letter ZWJ ; ZWJ ; Hebrew_Letter ZWJ
Hebrew_Letter ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter ZWJ ; Extend_Han|Extend_ComplexContext ; Hebrew_Letter
Hebrew_Letter ZWJ ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Katakana ; ExtendNumLet ; Katakana ExtendNumLet
Katakana ; ExtendmHanmComplexContext|Format ; Katakana
Katakana ; ZWJ ; Katakana ZWJ
Katakana ; Extend_Han|Extend_ComplexContext ; Katakana
Katakana ; Katakana ; Katakana
Katakana ExtendNumLet ; Numeric ; Numeric
Katakana ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
Katakana ExtendNumLet ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
Katakana ExtendNumLet ; ExtendmHanmComplexContext|Format ; ExtendNumLet
Katakana ExtendNumLet ; Hebrew_Letter ; Hebrew_Letter
Katakana ExtendNumLet ; ZWJ ; ExtendNumLet ZWJ
Katakana ExtendNumLet ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Katakana ExtendNumLet ; Extend_Han|Extend_ComplexContext ; ExtendNumLet
Katakana ExtendNumLet ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Katakana ExtendNumLet ; Katakana ; Katakana
Katakana ZWJ ; ExtendNumLet ; Katakana ExtendNumLet
Katakana ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
Katakana ZWJ ; ExtendmHanmComplexContext|Format ; Katakana
Katakana ZWJ ; ZWJ ; Katakana ZWJ
Katakana ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
Katakana ZWJ ; Extend_Han|Extend_ComplexContext ; Katakana
Katakana ZWJ ; Katakana ; Katakana
